jobID,userID,like
5f3ba0d0809ba90012487452,5f2c43b515633f0012d6db66,False
5f3ba0ae809ba9001248744e,5f2c43b515633f0012d6db66,False
5f3b9ee1809ba90012487449,5f2c43b515633f0012d6db66,False
5f3b9d1b809ba9001248743e,5f2c43b515633f0012d6db66,False
5f3b7a10809ba9001248740c,5f2c43b515633f0012d6db66,False
5f3b78a4809ba900124873fa,5f2c43b515633f0012d6db66,False
5f3b770d809ba900124873ee,5f2c43b515633f0012d6db66,False
5f2fdf6c15633f0012d6dbed,5f2c43b515633f0012d6db66,False
5f2fddac15633f0012d6dbe8,5f2c43b515633f0012d6db66,False
5f2eb49615633f0012d6dbc7,5f2c43b515633f0012d6db66,False
5f3ba0d0809ba90012487452,5f2c43b515633f0012d6db66,False
5f3ba0ae809ba9001248744e,5f2c43b515633f0012d6db66,False
5f3b9ee1809ba90012487449,5f2c43b515633f0012d6db66,False
5f3b9d1b809ba9001248743e,5f2c43b515633f0012d6db66,False
5f3b7a10809ba9001248740c,5f2c43b515633f0012d6db66,False
5f3b78a4809ba900124873fa,5f2c43b515633f0012d6db66,False
5f3ba0d0809ba90012487452,5f2c43b515633f0012d6db66,False
5f3ba0d0809ba90012487452,5f2c43b515633f0012d6db66,False
5f2eb49615633f0012d6dbc7,5f2eb3aa15633f0012d6dbc4,False
5f30fb1815633f0012d6dcaa,5f2eb3aa15633f0012d6dbc4,False
5f2fdf6c15633f0012d6dbed,5f2eb3aa15633f0012d6dbc4,False
5f2fddac15633f0012d6dbe8,5f2eb3aa15633f0012d6dbc4,False
5f30fb1815633f0012d6dcaa,5f2eb3aa15633f0012d6dbc4,False
5f2fdf6c15633f0012d6dbed,5f2eb3aa15633f0012d6dbc4,False
5f2fddac15633f0012d6dbe8,5f2eb3aa15633f0012d6dbc4,False
5f30fb1815633f0012d6dcaa,5f2eb3aa15633f0012d6dbc4,False
5f30fb1815633f0012d6dcaa,5f2eb3aa15633f0012d6dbc4,False
5f2fdf6c15633f0012d6dbed,5f2eb3aa15633f0012d6dbc4,False
5f2fddac15633f0012d6dbe8,5f2eb3aa15633f0012d6dbc4,False
5f2eb49615633f0012d6dbc7,5f2eb3aa15633f0012d6dbc4,False
5f30fb1815633f0012d6dcaa,5f2eb3aa15633f0012d6dbc4,False
